Liste des candidats;Voix;% Inscrits;% Exprimés
M. Emmanuel MACRON;20 743 128;43,61;66,10
Mme Marine LE PEN;10 638 475;22,36;33,90
;Nombre;% Inscrits;% Votants
Inscrits;47 568 693;;
Abstentions;12 101 366;25,44;
Votants;35 467 327;74,56;
Blancs;3 021 499;6,35;8,52
Nuls;1 064 225;2,24;3,00
Exprimés;31 381 603;65,97;88,48
Liste des candidats;Voix;% Inscrits;% Exprimés
M. Emmanuel MACRON;8 656 346;18,19;24,01
Mme Marine LE PEN;7 678 491;16,14;21,30
M. François FILLON;7 212 995;15,16;20,01
M. Jean-Luc MÉLENCHON;7 059 951;14,84;19,58
M. Benoît HAMON;2 291 288;4,82;6,36
M. Nicolas DUPONT-AIGNAN;1 695 000;3,56;4,70
M. Jean LASSALLE;435 301;0,91;1,21
M. Philippe POUTOU;394 505;0,83;1,09
M. François ASSELINEAU;332 547;0,70;0,92
Mme Nathalie ARTHAUD;232 384;0,49;0,64
M. Jacques CHEMINADE;65 586;0,14;0,18
;Nombre;% Inscrits;% Votants
Inscrits;47 582 183;;
Abstentions;10 578 455;22,23;
Votants;37 003 728;77,77;
Blancs;659 997;1,39;1,78
Nuls;289 337;0,61;0,78
Exprimés;36 054 394;75,77;97,43
